scenario_name	beta	gamma	sim_id	p_beta_true	p_beta_hard	p_beta_soft	p_gamma_true	p_gamma_hard	p_gamma_soft	est_beta_true	est_beta_hard	est_beta_soft	est_gamma_true	est_gamma_hard	est_gamma_soft	se_beta_true	se_beta_hard	se_beta_soft	se_gamma_true	se_gamma_hard	se_gamma_soft
high_separation	-0.25	-0.1	1	0.0022679882739560925	0.012845859375487071	0.002597109961250139	0.005767493076501996	1.9426709229386485e-4	6.256704413712835e-6	-0.24105760642323604	-0.19610721298947906	-0.20574783876946162	-0.10873119640216362	-0.12250959422502612	-0.12463341782942156	0.07896559206831004	0.07882077633863398	0.06822803123075688	0.039313282907032204	0.032771609712684543	0.027515002644400557
high_separation	-0.25	-0.1	2	0.010812236727315428	0.0016645945191097414	0.001639453623115039	2.7051637450023162e-5	0.0017337839137160243	3.070103280741456e-5	-0.19731832976434993	-0.24374646292553284	-0.22021676940766266	-0.1562730932150716	-0.10034961229516035	-0.12533781868317498	0.07741892150217158	0.07751901121964733	0.06984134370843298	0.037083397409184565	0.03196083935780019	0.03000087485427868
high_separation	-0.25	-0.1	3	2.038288928507193e-4	5.742193090984781e-4	3.428281160279908e-5	6.90822942690617e-5	9.551946670114792e-6	2.303350166392788e-7	-0.29766883125333515	-0.27578867635829923	-0.29660511609234086	-0.15639910863342504	-0.14817454700888733	-0.14678511814037568	0.08014295881435324	0.0800894509863582	0.07142961536216294	0.039157276981618444	0.033319230012664305	0.028276591605439282
high_separation	-0.25	-0.1	4	4.919132129125506e-4	0.002519362667822972	0.0017759279827005052	0.12852100753774892	0.03867394140536035	0.0041638248070230855	-0.288270160446979	-0.2513017048603959	-0.23517568038175846	-0.05793268377495441	-0.06930796467472729	-0.08756752937709134	0.08271451714650264	0.08318477181904403	0.075146385810682	0.038087625892896784	0.0334839815176248	0.030524285076585583
high_separation	-0.25	-0.1	5	0.007952398036379456	0.0557516357656595	0.040557649805822354	0.011572850373638503	0.003440908568027388	3.383239067016555e-4	-0.20937781853760049	-0.15151459457921224	-0.1444276960245133	-0.09670262656931834	-0.09476387618231269	-0.10497020441173494	0.07888891334875209	0.07920376971777467	0.07047467611962205	0.038236304692544014	0.032327705391495744	0.02923752777527066
high_separation	-0.25	-0.1	6	2.659744505051938e-7	5.137019082817371e-6	1.2228618504130548e-7	0.0060585027186290845	1.5975665297669663e-4	1.0673915834996e-5	-0.40474974629086213	-0.3576287246761815	-0.378189560945153	-0.10571058280557344	-0.12386955879244105	-0.10636813270603225	0.07865192609968805	0.07844261489209944	0.07123165130639376	0.03844245329178956	0.03269874999371181	0.024096220119614525
high_separation	-0.25	-0.1	7	0.0068684691270677325	0.001439180566482161	0.00246457293099841	0.011438622412796862	0.02687852632533436	3.9444583467638486e-4	-0.21178811449089946	-0.2506940582584289	-0.21327830372433298	-0.09532354481215886	-0.07359008102149191	-0.10133900693411367	0.07834848826361726	0.07866946113059264	0.07035373794598064	0.037631457544231944	0.033208030957502924	0.02854786058915406
high_separation	-0.25	-0.1	8	0.023628160568570467	4.4026510410883214e-4	3.152709682555261e-4	0.06865627880958497	0.9935102973974077	0.4541945409052116	-0.18193966883933824	-0.2832932698738638	-0.25646257279422197	-0.0745402486080898	2.7876066508571076e-4	-0.022312224474743764	0.08039321648911744	0.08060259894667943	0.0710673011616614	0.040901948956105993	0.034264716211684004	0.029805803921371582
high_separation	-0.25	-0.1	9	0.020903614848743677	0.022506834191806775	0.05883228669788565	0.5364255841275524	0.909461921928904	0.3752182321787033	-0.18530480718548928	-0.183470123379198	-0.13545272175268297	-0.024850586229490775	0.0038038805774446034	-0.02444814429983342	0.08022822706502566	0.08040926443108803	0.07164818238274219	0.04018404777319441	0.03344291661727267	0.027564613995942573
high_separation	-0.25	-0.1	10	0.0014787553595885627	2.560911468008089e-4	1.3926472547325848e-4	2.706701544430837e-5	5.475501422825757e-6	8.245047029457416e-9	-0.24909531416759728	-0.2875572268237857	-0.26766257708953345	-0.1606238891317594	-0.14798829106785905	-0.17243375389637872	0.07836092001406152	0.07865156515615009	0.07012606271962116	0.03811578067687704	0.03240523967414634	0.029790891323135817
high_separation	-0.25	-0.1	11	8.920952894952616e-4	0.00817607031167123	0.005019527491286471	0.055745366229732835	0.03309810828383447	0.0035679602707945346	-0.26300128400705414	-0.20979721115504416	-0.19965530165781992	-0.07119095554895093	-0.06932541291160339	-0.08385458874455977	0.07915726442047245	0.07932708246393098	0.07107963500228821	0.03717635887700083	0.032495341377161716	0.028741989458880783
high_separation	-0.25	-0.1	12	2.714084364227889e-9	1.6896735699446764e-6	5.262574514697924e-7	0.2493577746387033	0.004189552826491033	1.6569552650347015e-5	-0.4904542506454284	-0.3925712616776636	-0.3655719673616173	-0.04739572539305248	-0.10061226470118668	-0.13977522532252126	0.08245675026728622	0.08200116561258987	0.07263566542125173	0.041123941607677794	0.03506596920941719	0.03237581025237065
high_separation	-0.25	-0.1	13	0.002209783814733333	0.0017521628324032477	0.004841707372619664	0.01050657107164824	0.02600795550859987	1.739661773279204e-4	-0.2471984687475918	-0.25379343831880313	-0.20279402343269692	-0.09886732960463343	-0.07398451873247842	-0.10876631751567213	0.080770995356352	0.08110199808511181	0.0718991369669402	0.038576680829079904	0.03319366761757253	0.028917977883416886
high_separation	-0.25	-0.1	14	1.0270707589003544e-6	7.020332204630219e-6	4.938685350406347e-6	0.03180740213316055	0.06655453341137753	0.0024257706761665627	-0.3903150213492969	-0.3584532960282319	-0.3251831171599609	-0.08347639798977567	-0.06044748385688619	-0.08296784773870745	0.07987816167163936	0.07977912778509395	0.07100224640526265	0.03883756889940335	0.03291690057388864	0.027325102046645615
high_separation	-0.25	-0.1	15	5.203350688516081e-4	0.004609513091162876	0.0026855358038729875	0.21430968994447402	0.010581858869766108	6.323396044518724e-4	-0.27543190840068016	-0.2252106977030052	-0.20986606520454543	-0.04775146466260332	-0.08175485215851606	-0.09681266289915143	0.07937373410600311	0.07949192962649948	0.06983020823693213	0.0384317047846444	0.03193079508612016	0.028284814076838367
high_separation	-0.25	-0.1	16	0.0217809284982409	0.09317970301353595	0.024516516245315673	5.811675634526601e-5	2.4830323110226574e-5	2.0887944818236155e-6	-0.18685402514643543	-0.13725357914423733	-0.165524539673396	-0.15600272268387536	-0.13895038143139565	-0.13289041937180637	0.08144745092754666	0.08175412770029877	0.07354545447161463	0.038658115422481765	0.032823415118553155	0.027926179819556595
high_separation	-0.25	-0.1	17	0.04973509034951199	0.04173724776913839	0.06519483954100284	0.04075618573079002	0.05341538420477701	0.0038729890337200258	-0.15407853599539464	-0.1602939724550266	-0.13080287642851998	-0.07291251855805694	-0.060234810100873885	-0.08137631208572015	0.07852194496566298	0.07872480104409138	0.07089834797005466	0.0355964778322054	0.031153326359040088	0.02814128631495501
