Antibody	Beta_Effect	Gamma_Effect	Power_beta_true	Power_beta_hard	Power_beta_soft	Bias_beta_true	Bias_beta_hard	Bias_beta_soft	MSE_beta_true	MSE_beta_hard	MSE_beta_soft	Power_gamma_true	Power_gamma_hard	Power_gamma_soft	Bias_gamma_true	Bias_gamma_hard	Bias_gamma_soft	MSE_gamma_true	MSE_gamma_hard	MSE_gamma_soft
cmv_pp150	0.25	-0.1	0.9	0	0	0.05085276041443361	-0.2822289245538833	-0.29556733631493054	0.01328240018493262	0.08352963031428293	0.08968866772083443	0.9	0.6	0.9	0.004208809210354783	0.058666119102714555	0.055527799711100806	8.591110204944005e-4	0.0037649537542893976	0.003300907447101202
cmv_pp150	0.25	-0.05	0.8	0	0	-0.0307144128322801	-0.26175799069057176	-0.2534962691688528	0.005127462062875908	0.07190657598987509	0.0663108721726428	0.5	0	0.1	-0.0023239860845550887	0.03520973697709321	0.031236732123041698	8.815504753868985e-4	0.001491573220199327	0.0011776994792017878
cmv_pp150	0.25	0	1	0.4	0.4	0.0027546068078443398	-0.10287820309922938	-0.13339500375074964	0.003932868971662966	0.023285335804477864	0.023354187050286995	0	0.1	0.1	0.009534130077500699	0.003460864290370389	0.007280119237329438	9.724631012529435e-4	3.8387767067683603e-4	4.074226705549583e-4
cmv_pp150	0.25	0.05000000000000002	0.9	0.3	0.5	0.014108033708323232	-0.11192388489886917	-0.13517323098393408	0.0062159976854830115	0.019241456947377108	0.022767091327727994	0.2	0	0.1	-0.01217097222951394	-0.03969899342790394	-0.03574824058270842	0.0011082487345474106	0.0017101727576031172	0.001460412797943271
cmv_pp150	0.25	0.1	0.9	0.7	0.9	0.026516704012392648	-0.042825785430256925	-0.05203604421185458	0.0058289547478819394	0.006713458564884854	0.005930069789446498	0.8	0.8	0.8	-0.006475957902007338	-0.04622300779373116	-0.04165634545641941	0.0012874723245481494	0.002653888023358038	0.0021575227701749393
hsv1	-0.25	-0.1	1	0.4	0.9	-0.020043664270003824	0.02873706311426533	0.07493780730814653	0.004475578749895992	0.011167981720535071	0.00889946014939688	0.8	0.6	0.5	-0.015345012885339349	0.03978009378010558	0.05938790496390286	0.0023534418233112906	0.0020622146391995	0.003928740794526331
hsv1	-0.25	-0.05	1	0.1	0.3	0.007493404991564385	0.16501002302276907	0.16755908768066644	0.0026260165332961057	0.0437785110867053	0.030228874180378437	0.1	0.3	0.1	0.01493120043997881	0.019847984076851587	0.034472042485043486	0.0010725602700660118	0.0011581672009321649	0.0015310524827989122
hsv1	-0.25	0	0.8	0.1	0.2	0.005286628456873672	0.18556074614410065	0.18269907065571395	0.006508466489395785	0.05082365925277241	0.03681439901956061	0	0	0.1	-0.017249444469107592	-0.020893629541620884	-0.00482753780263733	8.745397042607803e-4	8.121359329978394e-4	5.580720320003326e-4
hsv1	-0.25	0.05000000000000002	0.8	0	0	0.0096651283229403	0.19440839780960223	0.22573487383608334	0.005729146554589837	0.050967064809719104	0.05239461524981637	0.2	0	0.1	-0.019890136877006453	-0.04088484066419487	-0.028711736755917476	0.001304169413524146	0.0021107092588163352	0.001303979230492248
hsv1	-0.25	0.1	0.8	0	0.2	-0.004962069240852275	0.2906763317321004	0.31377254536531973	0.009941756882315734	0.10826163916191152	0.1022273239161838	0.7	0.4	0.6	-0.003986771344980834	-0.05797330023900255	-0.05956851228701204	0.0017544746563375004	0.004748630579459611	0.004078183950688282
hsv1	-0.125	-0.1	0.4	0.4	0.7	-0.009718660285153818	-0.01146365339381679	-0.017817919919816533	0.01377008975782393	0.03264026695943388	0.00428781785019051	1	0.6	0.3	-0.0018371686654454246	0.04361158627498171	0.061647096506547476	8.175927693401212e-4	0.0025456980893718314	0.0043806929673729424
hsv1	-0.125	-0.05	0.5	0.1	0.4	-0.040729320803946686	0.016668117046587466	0.03849164480062988	0.007223032164120677	0.006598128973008475	0.006988060581958231	0.4	0.4	0.3	9.297475110372298e-4	0.01897508248761308	0.025556724824192016	0.002476997326413239	0.0018992092656941518	0.0012756430619124408
hsv1	-0.125	0	0.3	0	0	0.007996969395593008	0.09155233398550264	0.11619539570768503	0.008470726235597711	0.028973352012975823	0.016433970883607287	0.1	0	0.1	0.014479838011919042	0.0016883434363632209	0.0014507593168127306	9.043272071628605e-4	3.997421676345025e-4	4.6634890632283726e-4
hsv1	-0.125	0.05000000000000002	0.4	0.1	0	-0.002515158633042502	0.1848313705482958	0.17475824728904965	0.006929074991766577	0.054555597584939206	0.03294540461878573	0.3	0.1	0.1	0.005992885135032665	-0.02900939789871763	-0.033907596037678935	8.201778245340581e-4	0.0017505225570402345	0.001389533644833798
hsv1	-0.125	0.1	0.5	0	0.3	-0.021354807201079334	0.11751424116562212	0.2043741715205529	0.003836084605515086	0.03255452982440591	0.045533861163931585	0.7	0.6	0.7	-0.004017287223641693	-0.04701661152729073	-0.052307160325636023	0.0011658673793548443	0.0028722912578861663	0.0029675858089365076
hsv1	0	-0.1	0.1	0.1	0.6	-0.011024684706395099	-0.07924350311165501	-0.129684124558699	0.006670601464372944	0.020053775325174827	0.017991385679500347	0.8	0.7	0.7	-0.007506552810506752	0.031800998806749844	0.042764433238899155	0.0015003348683178196	0.0014772841267825395	0.0024016885997968566
hsv1	0	-0.05	0	0.1	0.1	0.006463152180872324	-0.011733806168581603	-0.0601233696478204	0.009563437183069911	0.024448700056522193	0.01073076349369936	0.5	0.2	0.1	-0.0072705068678084765	0.017565721302046467	0.0227311162930186	0.0019303550254406961	0.0013872468387321523	0.0011331061290411149
hsv1	0	0	0	0.3	0.1	0.03839736384174331	0.02753857191375351	-0.0033045773196947043	0.007643604826134901	0.03665956213300153	0.0074606771054524425	0.2	0	0.2	-0.0036071462662935205	-0.0031163062604126113	0.0015763099927001397	0.0024756336120007496	0.0010430467335333362	7.399050915896425e-4
hsv1	0	0.05000000000000002	0.1	0.1	0	0.006207602486846128	0.04041890931002918	0.053169007592573966	0.007987923145873987	0.02596041105936285	0.00492091675287017	0.2	0.2	0.3	-0.011480561005163639	-0.020655478651566403	-0.024628632960334337	0.001023480491674058	0.0010457044641384648	0.001020235257332623
hsv1	0	0.1	0.1	0.2	0.6	-0.02938123542549147	0.1048174573658101	0.1371861742847708	0.012872997049001803	0.03075545211912476	0.02207780390383924	0.9	0.9	1	3.697144336803224e-4	-0.024829298322144106	-0.03216598072791807	5.214481615690427e-4	8.71683616860893e-4	0.0012209834064147696
hsv1	0.125	-0.1	0.3	0	0.5	-0.00275742286874396	-0.1731488040603616	-0.2211925670254092	0.009977135972335597	0.04006794041924045	0.05071169340218574	0.8	0.5	0.5	-0.006427530663249878	0.04831591089229406	0.05664363966675566	0.0015719374518281815	0.002652917736564519	0.0036110434993612507
hsv1	0.125	-0.05	0.3	0.1	0.2	-0.005768239344911696	-0.1600155419533067	-0.2046160303660232	0.01026372796918182	0.03895530940339801	0.04407684348388374	0.6	0.2	0.3	-0.018521482271269808	0.012994375384598383	0.01644955246360344	7.938897327147451e-4	9.423003639191943e-4	7.143245649908931e-4
hsv1	0.125	0	0.4	0.1	0	0.006178044018322006	-0.07300956682630344	-0.12177087126855553	0.0076106617383216585	0.023521925484834446	0.017289772443867285	0	0	0.2	-0.0012498801135139368	-0.0015113452200662455	0.0028678955116152203	7.866851584996258e-4	5.660321238637845e-4	5.496251773480018e-4
hsv1	0.125	0.05000000000000002	0.2	0	0.2	0.013089911808036724	-0.04013420977940618	-0.04382644661704084	0.005392562415401632	0.0075313945598733875	0.00491913370649105	0.5	0.1	0.3	0.013218501066870947	-0.015616375757138664	-0.02888062822496894	8.183997217273049e-4	9.654893786087044e-4	0.0012042506908550318
hsv1	0.125	0.1	0.2	0.3	0.7	-0.0015997711283477823	0.06701927826827044	0.04974091101475399	0.011085989639818055	0.022292006119144343	0.005990889330009885	1	0.7	0.9	0.01567522787569559	-0.023392850127257003	-0.043651864284585604	8.938871380302358e-4	0.0011406163924282684	0.0020563133564347556
hsv1	0.25	-0.1	0.9	0	0.1	0.0034607164480004613	-0.2580823810090234	-0.32079370678285146	0.007940278030935994	0.08670677483523132	0.10462923403181673	0.6	0.4	0.6	0.016321802918918177	0.05228885236844247	0.050781482827258306	0.0010606783399660358	0.0031537132533951814	0.0030987828298583452
hsv1	0.25	-0.05	0.7	0	0.1	-0.033307734944947744	-0.27927343982957087	-0.313097586882697	0.006558412458008782	0.09040878221407013	0.10038679079533047	0.5	0.3	0.3	-0.023065391043461825	0.016822451143917873	0.02211906602164093	0.0013599332807531905	8.64461339597023e-4	8.760162926169449e-4
hsv1	0.25	0	0.8	0.2	0.1	-0.00918806840790328	-0.14576797608531203	-0.2250259160477178	0.004021695155408028	0.04118924218526587	0.054806626606973635	0.1	0.1	0.1	-0.008272704591503435	-0.009178124680867534	-0.009393217411898643	0.0016833290494410755	9.147297410340932e-4	4.0673887235553505e-4
hsv1	0.25	0.05000000000000002	0.9	0.1	0.2	-0.00933390535529205	-0.14596691516240576	-0.1668449802847065	0.004129178324198908	0.034697144428304696	0.029261476250767405	0.1	0.4	0	-0.010244962449793327	-0.017863672133330694	-0.029287863637522327	2.875100222127714e-4	0.0010065698617771192	0.0012283251882451523
hsv1	0.25	0.1	0.8	0	0.5	-0.012005265289027608	-0.08485948594492643	-0.12977265900833349	0.007267521671795999	0.015082226133934664	0.01949021849029403	0.6	0.5	0.9	-0.03125718721663527	-0.03985985198392682	-0.04151317549685897	0.0012424394663562391	0.0020891350781898532	0.0021584966874297748
hsv1_overlap	-0.25	-0.1	0.8	0.3	0.4	0.016602983963245894	0.05625362324506281	0.12951905626156682	0.005933081356181346	0.02463723716673783	0.01943992818738696	1	0.1	0	-0.0019403021625166675	0.06719309147832236	0.09730549977176448	5.421410288430228e-4	0.004940253179168988	0.009943013764581055
hsv1_overlap	-0.25	-0.05	0.7	0.2	0.1	0.005412707665459495	0.22311931101805643	0.21267096587421377	0.01306442732732521	0.09879818093159673	0.0493505467444363	0.5	0.1	0.2	-0.0042455513706938	0.04166188673857156	0.04797791385536241	0.001309966426404942	0.002587169524658303	0.0031831678428969846
hsv1_overlap	-0.25	0	1	0	0	-0.030289340233768513	0.2661507870346016	0.2724359778305587	0.005326521554365112	0.09582681128130306	0.07501038526595175	0	0	0.6	0.0060281596519214	0.025471568428551746	0.03761156136378316	4.176317871713025e-4	9.324630210558032e-4	0.0018101792331355238
hsv1_overlap	-0.25	0.05000000000000002	0.9	0	0.4	0.0032174344886057166	0.3524495286351632	0.3255211670143174	0.003450397897800921	0.14714755472400504	0.10890970832600926	0.4	0.5	0.6	-0.006204180853752406	-0.00803774091363359	-0.006020917121304396	0.0012655184961180349	5.840229447680307e-4	3.3386120125608024e-4
hsv1_overlap	-0.25	0.1	0.5	0	0.6	0.05476504677821349	0.3502471665001118	0.3770152941933702	0.008595793348189433	0.141925037397409	0.14627579578756472	0.9	0.7	0.7	0.001657119374333757	-0.0293061782723039	-0.04654657311541002	9.790222804433157e-4	0.00165028091784517	0.002616356411795354
hsv1_overlap	-0.125	-0.1	0.3	0.4	0.7	0.009652108258026103	-0.09832010139582582	-0.011817787469706176	0.0040332601215917726	0.040861643306885985	0.0024928978754968417	0.9	0.6	0.3	-0.011172788315515847	0.04372290553036486	0.06437695546161261	0.0012361748605602386	0.0023755444130024728	0.004813902008310591
hsv1_overlap	-0.125	-0.05	0.2	0.1	0	0.016096297427197766	0.0198944716379711	0.05081935034673995	0.005636795721978321	0.016682285655218187	0.002851186079564908	0.3	0	0	0.0016092957882964305	0.023408556665395607	0.04077746609268921	3.9959682696666567e-4	7.161143108739971e-4	0.0021273606351557093
hsv1_overlap	-0.125	0	0.7	0.1	0	-0.04230603266143206	0.16592128236084266	0.15474016122517267	0.006372297288961003	0.06862567135277417	0.02672114140903006	0	0.1	0.2	0.00607733529393131	0.015424956806943481	0.013389773703353307	4.025374717445295e-4	9.540679578833501e-4	0.0011505039120068132
hsv1_overlap	-0.125	0.05000000000000002	0.4	0.3	0.2	-0.013509818672895071	0.264926434629051	0.20739745688590253	0.00467712855065705	0.14526249544713477	0.04598205501106981	0.5	0.2	0.3	0.008065678949877718	-0.008331929380542375	-0.01719122829941546	8.569054336988292e-4	4.482784982942062e-4	7.891019263719033e-4
hsv1_overlap	-0.125	0.1	0	0.2	0.9	0.044005712669381844	0.35690543970394484	0.2876682627091034	0.004070641636381613	0.1794940100299595	0.08350085799919928	1	0.9	0.7	0.012847396647954952	-0.02222785469243548	-0.044734102210306756	4.096037529712961e-4	9.315296872477611e-4	0.0024122219822253943
hsv1_overlap	0	-0.1	0.1	0.1	0.6	-0.04019921445288282	-0.04275381265886053	-0.1292135208137727	0.005826986994061871	0.027322131476299017	0.018211690567502926	0.9	0.7	0.3	0.005388666893229557	0.04294492797096372	0.06555565135629493	4.5392128320317644e-4	0.002027568335524469	0.0046389937407744115
hsv1_overlap	0	-0.05	0	0.1	0.2	0.020599041208429737	-0.1689720932344403	-0.07478615873839348	0.007855811664781087	0.04941798533574832	0.008143417665040651	0.4	0.1	0.1	-0.009683870183338867	0.024379419814974206	0.035966343944867626	0.0013943568435293473	9.57913917775674e-4	0.0016242935495136266
hsv1_overlap	0	0	0.1	0	0	-0.01612560464978019	0.11026448778175009	0.014124829364807925	0.007445771667689089	0.04162434321521567	0.0033797147402957824	0	0.1	0	0.016205062933675705	0.0017993451647635675	0.002475598818799088	0.0010449719602414012	6.225167323925062e-4	3.3943912927024254e-4
hsv1_overlap	0	0.05000000000000002	0.1	0	0.2	0.010154650443398139	0.10468166573573907	0.06459854108125891	0.008377348490375715	0.03145736542673153	0.006425143179482349	0.2	0.2	0.1	-0.009462529258776506	-0.021252541868214337	-0.026935074135711234	7.622021876642065e-4	9.034235100716543e-4	9.905976063938006e-4
hsv1_overlap	0	0.1	0	0	0.8	0.004976191556317261	0.12990233632953851	0.13969281286120172	0.011046958408638388	0.03635910072336494	0.023259612559657736	1	0.7	0.5	0.00319316352612369	-0.03565837284545915	-0.05313453176608421	4.5877816838691034e-4	0.00226299518191306	0.003566782587855536
hsv1_overlap	0.125	-0.1	0.2	0.4	0.8	-0.016994378038947922	-0.3823987912427727	-0.27264400059282157	0.0049234870722737615	0.16282292533985201	0.07894844693995055	0.9	0.5	0.6	0.004309435801570371	0.04196146841034308	0.05355605320117159	8.749713053016934e-4	0.0028368337272302166	0.0034896580898355393
hsv1_overlap	0.125	-0.05	0.4	0	0.4	0.021642986656076734	-0.17135223649585282	-0.22309494268732225	0.006155646230667696	0.0520241298725828	0.0528729958157145	0.4	0.4	0.3	-0.014032493455779152	0.008153373568795261	0.021432820605055282	0.0014135911066779276	0.0011045932759321442	0.0011952475502616184
hsv1_overlap	0.125	0	0.3	0.1	0	-0.010286829011461975	-0.05517776256488963	-0.11885951440454016	0.004556412576289783	0.05048253687780462	0.01593263376282485	0	0	0	0.011744230638329705	-0.005386996679654749	-0.006506559115509025	3.2069640095136085e-4	4.908802337869903e-4	1.357182634042814e-4
hsv1_overlap	0.125	0.05000000000000002	0.1	0	0	-0.02938946742999555	-0.14044190191747633	-0.07567786528766172	0.009408847198749083	0.051122454573819566	0.007382962362694046	0.2	0.2	0.2	-0.012857256415880603	-0.02561586487089532	-0.033178366459051464	7.261898788568175e-4	0.0011170430056856241	0.0016652375508764597
hsv1_overlap	0.125	0.1	0.3	0.2	0.8	-0.02949874710823509	0.18656543653095722	0.03880378263520791	0.010866679294059729	0.06283793826855867	0.0051239962537493276	1	0.6	0.5	0.017809689695649854	-0.03998657277670188	-0.05700380136910738	0.001118147808133229	0.0021560045253332847	0.003921797886776798
hsv1_overlap	0.25	-0.1	0.7	0.4	0.9	-0.008206989268358167	-0.43714582799923146	-0.43096410938473567	0.011182570776487922	0.22950202898050265	0.18848308893015736	0.9	1	0.9	-0.005776951448292439	0.0134764137658538	0.027976999758225107	0.0010083644579387734	7.573338457393273e-4	0.001139988274549524
hsv1_overlap	0.25	-0.05	0.9	0.2	0.3	0.008268040369164904	-0.25281863761543605	-0.3199326954050138	0.0031262351056426446	0.10762110171852617	0.10430443873282697	0.2	0.4	0.7	0.016812982569345093	0.002743327053556987	-2.208596212298455e-4	6.065924222158283e-4	3.1807528666557585e-4	5.999095384562224e-4
hsv1_overlap	0.25	0	0.6	0.2	0	-0.03636179464698745	-0.324286566160975	-0.25854281268014423	0.010603986075991988	0.15561580207684536	0.06874150738955964	0	0	0.2	0.0035589224503952753	-0.004289445371765851	-0.0086582113797377	4.842522746766854e-4	3.652477110291633e-4	8.034145145946253e-4
hsv1_overlap	0.25	0.05000000000000002	0.9	0.1	0.3	0.023551565290258546	-0.11194732865465246	-0.16929470380251202	0.006522115200781934	0.048562723348337215	0.033414630143040615	0.4	0	0	9.661890707705442e-4	-0.02990767240771928	-0.04493885963871353	8.558719068817557e-4	0.001183562752266519	0.0022811464029865837
hsv1_overlap	0.25	0.1	0.9	0.2	0.5	0.0295394268298608	-0.05252363368273152	-0.13222852128631746	0.009139261768920109	0.035847658781200054	0.019318246740677027	0.8	0.2	0	-0.006850481924616398	-0.0626426958223537	-0.08393650661738229	6.572449390035063e-4	0.004321349670399653	0.007336460470823328
